model,item_id,n_index,car,coffee,denial,leak_through,words,error
haiku-3,1,1,,tea,False,False,112,
haiku-3,1,2,,cappuccino,False,False,148,
haiku-3,1,3,,tea,False,False,129,
haiku-3,1,4,,tea,True,True,82,
haiku-3,1,5,,cappuccino,False,False,131,
haiku-3,1,6,,tea,True,True,115,
haiku-3,1,7,,cappuccino,True,True,135,
haiku-3,1,8,,tea,False,False,141,
haiku-3,1,9,,tea,False,False,113,
haiku-3,1,10,,tea,False,False,125,
haiku-3,1,11,,latte,False,False,81,
haiku-3,1,12,,tea,False,False,117,
haiku-3,1,13,,tea,False,False,96,
haiku-3,1,14,,cappuccino,True,True,124,
haiku-3,1,15,,tea,False,False,118,
haiku-3,1,16,,tea,True,True,107,
haiku-3,1,17,,tea,False,False,108,
haiku-3,1,18,,tea,False,False,95,
haiku-3,1,19,,latte,False,False,127,
haiku-3,1,20,,cappuccino,True,True,105,
haiku-3,2,1,wagon_unspec,tea,False,False,110,
haiku-3,2,2,ev_unspec,black_coffee,False,False,116,
haiku-3,2,3,tesla,black_coffee,False,False,137,
haiku-3,2,4,no_car_coded,tea,False,False,99,
haiku-3,2,5,no_car_coded,cappuccino,False,False,131,
haiku-3,2,6,wagon_unspec,black_coffee,False,False,65,
haiku-3,2,7,tesla,black_coffee,False,False,128,
haiku-3,2,8,no_car_coded,black_coffee,False,False,117,
haiku-3,2,9,ev_unspec,black_coffee,False,False,110,
haiku-3,2,10,wagon_unspec,tea,False,False,111,
haiku-3,2,11,ev_unspec,black_coffee,False,False,101,
haiku-3,2,12,no_car_coded,black_coffee,False,False,111,
haiku-3,2,13,tesla,black_coffee,False,False,176,
haiku-3,2,14,tesla,black_coffee,False,False,100,
haiku-3,2,15,tesla,black_coffee,False,False,179,
haiku-3,2,16,ev_unspec,tea,False,False,105,
haiku-3,2,17,tesla,tea,False,False,139,
haiku-3,2,18,no_car_coded,tea,False,False,162,
haiku-3,2,19,ev_unspec,tea,False,False,87,
haiku-3,2,20,prius,latte,False,False,117,
haiku-4.5,1,1,,tea,False,False,175,
